candidate_id,rank,score,reasoning
CAND_0000038,15,0.5000,"Java Developer with 6.7 years shows limited fit through evidence in machine learning, llm, retrieval, vector database, backend; low profile completeness, open to work. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000010,16,0.4900,"Data Engineer with 4.6 years shows limited fit through evidence in python, machine learning, fine tuning, backend, mlops; behavioral signals reviewed. Direct evidence of python experience in resume. Missing required skills: react, next.js, fastapi."
CAND_0000025,17,0.4900,"Frontend Engineer with 7.3 years shows limited fit through evidence in machine learning, llm, retrieval, backend, cloud; open to work. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000061,18,0.4900,"DevOps Engineer with 7.7 years shows limited fit through evidence in machine learning, llm, retrieval, backend, mlops; stale activity, low recruiter response rate. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000075,19,0.4900,"Full Stack Developer with 5.2 years shows limited fit through evidence in machine learning, llm, retrieval, backend; low profile completeness, short notice period. Direct evidence of react experience in resume. Missing required skills: next.js, python, fastapi."
CAND_0000027,20,0.4900,"DevOps Engineer with 3.9 years shows limited fit through evidence in machine learning, llm, fine tuning, retrieval, backend; low profile completeness, open to work. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000044,21,0.4900,"Frontend Engineer with 5.7 years shows limited fit through evidence in python, machine learning, llm, retrieval, backend; low profile completeness, stale activity. Direct evidence of python experience in resume. Missing required skills: react, next.js, fastapi."
CAND_0000097,22,0.4900,"Mechanical Engineer with 5.8 years shows limited fit through evidence in llm, retrieval, vector database, backend; low profile completeness, stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000035,23,0.4800,"Full Stack Developer with 4.3 years shows limited fit through evidence in machine learning, llm, retrieval, ranking, backend; stale activity, low recruiter response rate. Direct evidence of next.js experience in resume. Missing required skills: react, python, fastapi."
CAND_0000067,24,0.4800,"Frontend Engineer with 3.9 years shows limited fit through evidence in python, machine learning, llm, retrieval, backend; low profile completeness. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000096,25,0.4700,"QA Engineer with 3.2 years shows limited fit through evidence in machine learning, llm, fine tuning, retrieval, backend; stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000014,26,0.4700,"Frontend Engineer with 8.4 years shows limited fit through evidence in machine learning, llm, retrieval, vector database, backend; behavioral signals reviewed. Direct evidence of react experience in resume. Missing required skills: next.js, python, fastapi."
CAND_0000054,27,0.4600,"QA Engineer with 4.9 years shows limited fit through evidence in machine learning, llm, retrieval, backend, mlops; stale activity, open to work. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000062,28,0.4500,"DevOps Engineer with 4.3 years shows limited fit through evidence in machine learning, nlp, llm, retrieval, backend; open to work. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000023,29,0.4500,"Software Engineer with 3.7 years shows limited fit through evidence in machine learning, llm, retrieval, backend, data engineering; low profile completeness, short notice period. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000091,30,0.4400,"Frontend Engineer with 3.6 years shows limited fit through evidence in machine learning, llm, fine tuning, retrieval, backend; low recruiter response rate. Direct evidence of fastapi experience in resume. Missing required skills: react, next.js, python."
CAND_0000048,31,0.4400,"Mobile Developer with 9.7 years shows limited fit through evidence in machine learning, llm, retrieval, backend, cloud; open to work. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000077,32,0.4400,"Frontend Engineer with 8.7 years shows limited fit through evidence in machine learning, llm, retrieval, backend; stale activity. Direct evidence of react experience in resume. Missing required skills: next.js, python, fastapi."
CAND_0000099,33,0.4200,"Full Stack Developer with 2.6 years shows limited fit through evidence in machine learning, llm, retrieval, backend, mlops; open to work. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000065,34,0.4200,"Project Manager with 9.7 years shows limited fit through evidence in machine learning, llm, backend, mlops; low profile completeness, open to work. Direct evidence of next.js experience in resume. Missing required skills: react, python, fastapi."
CAND_0000074,35,0.4100,"Operations Manager with 1.9 years shows limited fit through evidence in llm, embeddings, retrieval, ranking, vector database; stale activity. Direct evidence of next.js experience in resume. Missing required skills: react, python, fastapi."
CAND_0000019,36,0.4000,"Project Manager with 6.5 years shows limited fit through evidence in machine learning, cloud; low profile completeness, low recruiter response rate. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000084,37,0.4000,"Marketing Manager with 10.6 years shows limited fit through evidence in machine learning, llm, cloud, data engineering; low profile completeness, stale activity. Direct evidence of react experience in resume. Missing required skills: next.js, python, fastapi."
CAND_0000041,38,0.3800,"Operations Manager with 13.7 years shows limited fit through evidence in machine learning, mlops, cloud; stale activity, open to work. Direct evidence of react experience in resume. Missing required skills: next.js, python, fastapi."
CAND_0000093,39,0.3800,"Civil Engineer with 8.2 years shows limited fit through evidence in machine learning, backend, cloud, data engineering; stale activity, open to work. Direct evidence of react experience in resume. Missing required skills: next.js, python, fastapi."
CAND_0000053,40,0.3800,"Graphic Designer with 3.9 years shows limited fit through evidence in backend, cloud, data engineering; low profile completeness, stale activity. Direct evidence of fastapi experience in resume. Missing required skills: react, next.js, python."
CAND_0000092,41,0.3700,"Business Analyst with 4.8 years shows limited fit through evidence in machine learning, llm, backend, mlops, cloud; stale activity, low recruiter response rate. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000018,42,0.3700,"Frontend Engineer with 6.6 years shows limited fit through evidence in machine learning, llm, retrieval, backend; low profile completeness, stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000037,43,0.3700,"Business Analyst with 14.3 years shows limited fit through evidence in machine learning, backend, cloud; low profile completeness, stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000073,44,0.3600,"Project Manager with 12.1 years shows limited fit through evidence in machine learning, mlops, cloud; stale activity. Direct evidence of next.js experience in resume. Missing required skills: react, python, fastapi."
CAND_0000024,45,0.3600,"HR Manager with 7.5 years shows limited fit through evidence in machine learning, llm, cloud, data engineering; stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000034,46,0.3600,"Business Analyst with 14.5 years shows limited fit through evidence in machine learning, llm, backend, cloud; low profile completeness, stale activity. Direct evidence of react, next.js experience in resume. Missing required skills: python, fastapi."
CAND_0000051,47,0.3600,"Cloud Engineer with 6.2 years shows limited fit through evidence in machine learning, llm, retrieval, backend; low profile completeness, stale activity. Direct evidence of react experience in resume. Missing required skills: next.js, python, fastapi."
CAND_0000045,48,0.3500,"Project Manager with 12.2 years shows limited fit through evidence in machine learning, mlops, cloud; low profile completeness, open to work. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000007,49,0.3400,"Civil Engineer with 5.5 years shows limited fit through evidence in data engineering; short notice period. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000011,50,0.3400,"QA Engineer with 2.0 years shows limited fit through evidence in machine learning, llm, retrieval, ranking, backend; stale activity, skill duration exceeds stated experience. Direct evidence of fastapi experience in resume. Missing required skills: react, next.js, python."
CAND_0000078,51,0.3400,"Business Analyst with 10.3 years shows limited fit through evidence in machine learning, backend, mlops; low recruiter response rate. Direct evidence of fastapi experience in resume. Missing required skills: react, next.js, python."
CAND_0000081,52,0.3400,"Accountant with 10.1 years shows limited fit through evidence in machine learning, llm, data engineering; low profile completeness, stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000059,53,0.3300,"Frontend Engineer with 1.5 years shows limited fit through evidence in python, machine learning, llm, retrieval, backend; low recruiter response rate, skill duration exceeds stated experience. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000068,54,0.3300,"Java Developer with 1.5 years shows limited fit through evidence in python, machine learning, llm, retrieval, vector database; open to work, short notice period. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000095,55,0.3200,"HR Manager with 6.7 years shows limited fit through evidence in machine learning, cloud; low recruiter response rate. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000033,56,0.3200,"Graphic Designer with 8.6 years shows limited fit through evidence in machine learning, mlops, cloud, data engineering; open to work, low recruiter response rate. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000016,57,0.3200,"Accountant with 5.3 years shows limited fit through evidence in mlops; stale activity, open to work. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000087,58,0.3200,"Full Stack Developer with 2.5 years shows limited fit through evidence in machine learning, llm, retrieval, backend, mlops; open to work. Direct evidence of react experience in resume. Missing required skills: next.js, python, fastapi."
CAND_0000046,59,0.3100,"Mechanical Engineer with 7.8 years shows limited fit through evidence in cloud, data engineering; stale activity, short notice period. Direct evidence of react experience in resume. Missing required skills: next.js, python, fastapi."
CAND_0000086,60,0.3100,"Mechanical Engineer with 4.9 years shows limited fit through evidence in backend, data engineering; low profile completeness, stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000042,61,0.3000,"HR Manager with 5.0 years shows limited fit through evidence in machine learning, llm; stale activity, short notice period. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000039,62,0.3000,"Marketing Manager with 3.9 years shows limited fit through evidence in cloud, data engineering; low profile completeness, short notice period. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000058,63,0.3000,"HR Manager with 10.1 years shows limited fit through evidence in cloud, data engineering; low profile completeness, stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000085,64,0.2900,"Mechanical Engineer with 12.9 years shows limited fit through evidence in machine learning, llm, cloud; stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000066,65,0.2900,"Content Writer with 2.4 years shows limited fit through evidence in backend, mlops, data engineering; low profile completeness, stale activity. Direct evidence of react experience in resume. Missing required skills: next.js, python, fastapi."
CAND_0000098,66,0.2800,"Business Analyst with 1.7 years shows limited fit through evidence in backend, data engineering; open to work, short notice period. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000076,67,0.2800,"Project Manager with 12.0 years shows limited fit through evidence in machine learning, backend; stale activity. Direct evidence of fastapi experience in resume. Missing required skills: react, next.js, python."
CAND_0000002,68,0.2800,"Operations Manager with 12.5 years shows limited fit through evidence in machine learning, llm, cloud, data engineering; stale activity, open to work. Direct evidence of react experience in resume. Missing required skills: next.js, python, fastapi."
CAND_0000029,69,0.2800,"Business Analyst with 7.2 years shows limited fit through evidence in limited direct AI evidence; low profile completeness, stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000057,70,0.2800,"Customer Support with 3.3 years shows limited fit through evidence in machine learning, llm; low profile completeness, stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000005,71,0.2700,"Accountant with 11.0 years shows limited fit through evidence in machine learning; stale activity, open to work. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000064,72,0.2700,"Accountant with 4.5 years shows limited fit through evidence in machine learning; stale activity, low recruiter response rate. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000080,73,0.2700,"Graphic Designer with 8.3 years shows limited fit through evidence in limited direct AI evidence; stale activity, open to work. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000050,74,0.2700,"Business Analyst with 13.5 years shows limited fit through evidence in data engineering; low profile completeness, stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000009,75,0.2600,"Mechanical Engineer with 11.0 years shows limited fit through evidence in machine learning; low profile completeness, stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000006,76,0.2600,"Business Analyst with 6.0 years shows limited fit through evidence in machine learning, backend; low profile completeness, stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000004,77,0.2600,"Marketing Manager with 3.8 years shows limited fit through evidence in machine learning, llm, mlops, cloud; low profile completeness, low recruiter response rate. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000036,78,0.2500,"Project Manager with 11.3 years shows limited fit through evidence in limited direct AI evidence; stale activity, open to work. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000090,79,0.2500,"QA Engineer with 1.7 years shows limited fit through evidence in machine learning, llm, retrieval, backend, mlops; stale activity, skill duration exceeds stated experience. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000071,80,0.2500,"DevOps Engineer with 1.8 years shows limited fit through evidence in python, machine learning, llm, retrieval, vector database; stale activity, low recruiter response rate. Direct evidence of python experience in resume. Missing required skills: react, next.js, fastapi."
CAND_0000008,81,0.2400,"Operations Manager with 3.6 years shows limited fit through evidence in cloud, data engineering; stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000017,82,0.2300,"Accountant with 12.3 years shows limited fit through evidence in limited direct AI evidence; low profile completeness, stale activity. Direct evidence of next.js experience in resume. Missing required skills: react, python, fastapi."
CAND_0000056,83,0.2300,"Frontend Engineer with 1.3 years shows limited fit through evidence in machine learning, deep learning, llm, embeddings, retrieval; low profile completeness, stale activity. Direct evidence of react, fastapi experience in resume. Missing required skills: next.js, python."
CAND_0000079,84,0.2200,"Customer Support with 13.2 years shows limited fit through evidence in machine learning; open to work, low recruiter response rate. Direct evidence of next.js experience in resume. Missing required skills: react, python, fastapi."
CAND_0000020,85,0.2200,"Mechanical Engineer with 6.3 years shows limited fit through evidence in machine learning, llm, backend, cloud; stale activity, short notice period. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000094,86,0.2200,"Graphic Designer with 2.6 years shows limited fit through evidence in limited direct AI evidence; stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000049,87,0.2200,"Mechanical Engineer with 11.8 years shows limited fit through evidence in cloud; behavioral signals reviewed. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000069,88,0.2200,"Business Analyst with 13.0 years shows limited fit through evidence in machine learning, llm, cloud; stale activity, open to work. Direct evidence of react experience in resume. Missing required skills: next.js, python, fastapi."
CAND_0000070,89,0.2100,"Business Analyst with 4.2 years shows limited fit through evidence in cloud; low recruiter response rate. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000100,90,0.2100,"Graphic Designer with 13.5 years shows limited fit through evidence in machine learning, llm, backend; stale activity, open to work. Direct evidence of fastapi experience in resume. Missing required skills: react, next.js, python."
CAND_0000089,91,0.2000,"Mechanical Engineer with 1.1 years shows limited fit through evidence in machine learning, cloud; low profile completeness, stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000047,92,0.1900,"Project Manager with 2.4 years shows limited fit through evidence in backend; behavioral signals reviewed. Direct evidence of fastapi experience in resume. Missing required skills: react, next.js, python."
CAND_0000030,93,0.1800,"Marketing Manager with 10.0 years shows limited fit through evidence in machine learning, llm; stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000040,94,0.1600,"Customer Support with 1.6 years shows limited fit through evidence in data engineering; low profile completeness, stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000013,95,0.1300,"Civil Engineer with 1.1 years shows limited fit through evidence in backend, cloud, data engineering; low profile completeness, open to work. Direct evidence of react experience in resume. Missing required skills: next.js, python, fastapi."
CAND_0000022,96,0.1000,"Mechanical Engineer with 1.1 years shows limited fit through evidence in machine learning, llm, backend, cloud; open to work, low recruiter response rate. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000003,97,0.1000,"Customer Support with 1.1 years shows limited fit through evidence in machine learning, cloud; low profile completeness, skill duration exceeds stated experience. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000028,98,0.0700,"Operations Manager with 1.1 years shows limited fit through evidence in cloud; low profile completeness, low recruiter response rate. Direct evidence of react experience in resume. Missing required skills: next.js, python, fastapi."
CAND_0000012,99,0.0300,"Operations Manager with 1.1 years shows limited fit through evidence in mlops, cloud; low profile completeness, stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
CAND_0000052,100,0.0200,"Mechanical Engineer with 1.4 years shows limited fit through evidence in cloud; low profile completeness, stale activity. No required skills found in candidate profile. Missing required skills: react, next.js, python, fastapi."
